"","name","Degree","Aspect"
"1","'de novo' cotranslational protein folding",0,"Out degree"
"2","'de novo' protein folding",0,"Out degree"
"3","01-Mar",2,"Out degree"
"4","01-Mar",2,"Out degree"
"5","01-Sep",2,"Out degree"
"6","02-Mar",1,"Out degree"
"7","02-Sep",2,"Out degree"
"8","03-Mar",1,"Out degree"
"9","03-Sep",1,"Out degree"
"10","04-Mar",1,"Out degree"
"11","04-Sep",2,"Out degree"
"12","05-Mar",1,"Out degree"
"13","05-Sep",2,"Out degree"
"14","06-Mar",1,"Out degree"
"15","06-Sep",1,"Out degree"
"16","07-Mar",1,"Out degree"
"17","07-Sep",1,"Out degree"
"18","08-Mar",1,"Out degree"
"19","08-Sep",0,"Out degree"
"20","09-Mar",1,"Out degree"
"21","09-Sep",1,"Out degree"
"22","10-Mar",1,"Out degree"
"23","10-Sep",1,"Out degree"
"24","11-Sep",1,"Out degree"
"25","15-Sep",2,"Out degree"
"26","2-LTR circle formation",0,"Out degree"
"27","3' -UTR-mediated translational regulation",0,"Out degree"
"28","9-cis-retinoic acid biosynthetic process",0,"Out degree"
"29","A tetrasaccharide linker sequence is required for GAG synthesis",0,"Out degree"
"30","A third proteolytic cleavage releases NICD",0,"Out degree"
"31","A1BG",0,"Out degree"
"32","A1CF",2,"Out degree"
"33","A2M",2,"Out degree"
"34","A4GALT",2,"Out degree"
"35","a6b1 and a6b4 Integrin signaling",0,"Out degree"
"36","AAAS",2,"Out degree"
"37","AACS",1,"Out degree"
"38","AADAC",1,"Out degree"
"39","AADACL2",0,"Out degree"
"40","AADAT",2,"Out degree"
"41","AAGAB",0,"Out degree"
"42","AAK1",1,"Out degree"
"43","AAMDC",1,"Out degree"
"44","AAMP",2,"Out degree"
"45","AAR2",1,"Out degree"
"46","AARS",2,"Out degree"
"47","AARS2",2,"Out degree"
"48","AARSD1",1,"Out degree"
"49","AASDH",1,"Out degree"
"50","AASDHPPT",2,"Out degree"
"51","AASS",2,"Out degree"
"52","AATK",1,"Out degree"
"53","Abacavir",3,"Out degree"
"54","Abacavir transmembrane transport",0,"Out degree"
"55","Abacavir transport and metabolism",0,"Out degree"
"56","ABAT",2,"Out degree"
"57","ABC-family proteins mediated transport",0,"Out degree"
"58","ABCA transporters in lipid homeostasis",0,"Out degree"
"59","ABCA1",2,"Out degree"
"60","ABCA10",2,"Out degree"
