"","name","betweenness","Category"
"1","2-LTR circle formation",0,"Pathway"
"2","3' -UTR-mediated translational regulation",0,"Pathway"
"3","A tetrasaccharide linker sequence is required for GAG synthesis",0,"Pathway"
"4","A third proteolytic cleavage releases NICD",0,"Pathway"
"5","a6b1 and a6b4 Integrin signaling",0,"Pathway"
"6","Abacavir transmembrane transport",0,"Pathway"
"7","Abacavir transport and metabolism",0,"Pathway"
"8","ABC-family proteins mediated transport",0,"Pathway"
"9","ABCB1",6.92424242424242,"Gene"
"10","ABCC5",3.46156843156843,"Gene"
"11","ABCF3",0,"Gene"
"12","ABHD6",0,"Gene"
"13","Abnormal metabolism in phenylketonuria",0,"Pathway"
"14","ACAT2",0,"Gene"
"15","Acetylcholine Binding And Downstream Events",0,"Pathway"
"16","Acetylcholine Neurotransmitter Release Cycle",0,"Pathway"
"17","Acetylcholine regulates insulin secretion",0,"Pathway"
"18","ACOT9",0,"Gene"
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0,"Pathway"
"20","Activated point mutants of FGFR2",0,"Pathway"
"21","activated TAK1 mediates p38 MAPK activation",0,"Pathway"
"22","Activated TLR4 signalling",0,"Pathway"
"23","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0,"Pathway"
"24","Activation of ATR in response to replication stress",0,"Pathway"
"25","Activation of BAD and translocation to mitochondria",0,"Pathway"
"26","Activation of BH3-only proteins",0,"Pathway"
"27","Activation of caspases through apoptosome-mediated cleavage",0,"Pathway"
"28","Activation of GABAB receptors",0,"Pathway"
"29","Activation of gene expression by SREBF (SREBP)",0,"Pathway"
"30","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0,"Pathway"
"31","Activation of Matrix Metalloproteinases",0,"Pathway"
"32","Activation of NF-kappaB in B cells",0,"Pathway"
"33","Activation of PKB",0,"Pathway"
"34","Activation of PPARGC1A (PGC-1alpha) by phosphorylation",0,"Pathway"
"35","Activation of Rac",0,"Pathway"
"36","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0,"Pathway"
"37","Activation of the pre-replicative complex",0,"Pathway"
"38","Activation, translocation and oligomerization of BAX",0,"Pathway"
"39","Acyl chain remodeling of DAG and TAG",0,"Pathway"
"40","ADAM10",8.00842575514302,"Gene"
"41","Adaptive Immune System",0,"Pathway"
"42","Adenylate cyclase inhibitory pathway",0,"Pathway"
"43","ADGRE5",1.6494623655914,"Gene"
"44","Adherens junctions interactions",0,"Pathway"
"45","ADI1",3.5625,"Gene"
"46","Adipogenesis",0,"Pathway"
"47","ADM",4.49285714285714,"Gene"
"48","ADO",0,"Gene"
"49","ADP signalling through P2Y purinoceptor 12",0,"Pathway"
"50","ADRA1A",6.89563492063492,"Gene"
"51","ADRA1B",6.89563492063492,"Gene"
"52","ADRA1D",5.39563492063492,"Gene"
"53","ADRA2A",4.53376623376623,"Gene"
"54","ADRA2B",2.94285714285714,"Gene"
"55","ADRA2C",4.53376623376623,"Gene"
"56","Adrenaline signalling through Alpha-2 adrenergic receptor",0,"Pathway"
"57","Adrenaline,noradrenaline inhibits insulin secretion",0,"Pathway"
"58","Adrenoceptors",0,"Pathway"
"59","ADSL",1.88833333333333,"Gene"
"60","Advanced glycosylation endproduct receptor signaling",0,"Pathway"
"61","AFF1",0,"Gene"
"62","Aflatoxin activation and detoxification",0,"Pathway"
"63","Aflatoxin B1 metabolism",0,"Pathway"
"64","AGE/RAGE pathway",0,"Pathway"
"65","AKR1B10",0.9520264681555,"Gene"
"66","AKR7A2",2.68,"Gene"
"67","AKT phosphorylates targets in the nucleus",0,"Pathway"
"68","ALB",13.982905982906,"Gene"
"69","ALDOC",5.63653235653236,"Gene"
"70","Allograft Rejection",0,"Pathway"
"71","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",0,"Pathway"
"72","Alpha-synuclein signaling",0,"Pathway"
"73","Alpha 6 Beta 4 signaling pathway",0,"Pathway"
"74","Alpha4 beta1 integrin signaling events",0,"Pathway"
"75","Alpha6 beta4 integrin-ligand interactions",0,"Pathway"
"76","AlphaE beta7 integrin cell surface interactions",0,"Pathway"
"77","Alternative NF-kappaB pathway",0,"Pathway"
"78","Alzheimers Disease",0,"Pathway"
"79","amb2 Integrin signaling",0,"Pathway"
"80","AMER1 mutants destabilize the destruction complex",0,"Pathway"
"81","AMFR",0.2,"Gene"
"82","Amine compound SLC transporters",0,"Pathway"
"83","Amine ligand-binding receptors",0,"Pathway"
"84","Amino acid and derivative metabolism",0,"Pathway"
"85","Amino acid and oligopeptide SLC transporters",0,"Pathway"
"86","Amino acid synthesis and interconversion (transamination)",0,"Pathway"
"87","Amino acid transport across the plasma membrane",0,"Pathway"
"88","AMPK inhibits chREBP transcriptional activation activity",0,"Pathway"
"89","AMPK Signaling",0,"Pathway"
"90","Amyloids",0,"Pathway"
"91","Amyotrophic lateral sclerosis (ALS)",0,"Pathway"
"92","Anchoring fibril formation",0,"Pathway"
"93","Androgen receptor signaling pathway",0,"Pathway"
"94","Angiopoietin receptor Tie2-mediated signaling",0,"Pathway"
"95","ANKRD17",0,"Gene"
"96","ANKS1A",0,"Gene"
"97","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,"Pathway"
"98","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0,"Pathway"
"99","Antigen processing-Cross presentation",0,"Pathway"
"100","Antigen processing: Ubiquitination & Proteasome degradation",0,"Pathway"
"101","Antiviral mechanism by IFN-stimulated genes",0,"Pathway"
"102","ANXA4",0.5,"Gene"
"103","AP-1 transcription factor network",0,"Pathway"
"104","AP2S1",11.592747705594,"Gene"
"105","APAF1",4.9988455988456,"Gene"
"106","APC-Cdc20 mediated degradation of Nek2A",0,"Pathway"
"107","APC/C-mediated degradation of cell cycle proteins",0,"Pathway"
"108","APC/C:Cdc20 mediated degradation of Cyclin B",0,"Pathway"
"109","APC/C:Cdc20 mediated degradation of mitotic proteins",0,"Pathway"
"110","APC/C:Cdc20 mediated degradation of Securin",0,"Pathway"
"111","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0,"Pathway"
"112","APEX1",9.62511520737327,"Gene"
"113","APLP2",0,"Gene"
"114","APOBEC3G mediated resistance to HIV-1 infection",0,"Pathway"
"115","Apoptosis",0,"Pathway"
"116","Apoptosis",0,"Pathway"
