"","name","closeness","Category","closenessPercent"
"1","2-LTR circle formation",0.260005636978579,"Pathway",15
"2","3' -UTR-mediated translational regulation",0.268168604651163,"Pathway",30
"3","A tetrasaccharide linker sequence is required for GAG synthesis",0.267624020887728,"Pathway",28
"4","A third proteolytic cleavage releases NICD",0.262820512820513,"Pathway",18
"5","a6b1 and a6b4 Integrin signaling",0.279799818016379,"Pathway",53
"6","Abacavir transmembrane transport",0.227048978587251,"Pathway",3
"7","Abacavir transport and metabolism",0.227048978587251,"Pathway",3
"8","ABC-family proteins mediated transport",0.268793706293706,"Pathway",32
"9","ABCB1",0.289003759398496,"Gene",66
"10","ABCC5",0.360633307271306,"Gene",98
"11","ABCF3",0.231958762886598,"Gene",5
"12","ABHD6",0.340154867256637,"Gene",75
"13","Abnormal metabolism in phenylketonuria",0.228851401637311,"Pathway",4
"14","ACAT2",0.241176470588235,"Gene",6
"15","Acetylcholine Binding And Downstream Events",0.263496143958869,"Pathway",20
"16","Acetylcholine Neurotransmitter Release Cycle",0.26708164447018,"Pathway",27
"17","Acetylcholine regulates insulin secretion",0.236963781145646,"Pathway",6
"18","ACOT9",0.340154867256637,"Gene",75
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0.286046511627907,"Pathway",63
"20","Activated point mutants of FGFR2",0.264478211009174,"Pathway",23
"21","activated TAK1 mediates p38 MAPK activation",0.263571428571429,"Pathway",20
"22","Activated TLR4 signalling",0.29073432083202,"Pathway",68
"23","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.28516228748068,"Pathway",62
"24","Activation of ATR in response to replication stress",0.260446075663467,"Pathway",15
"25","Activation of BAD and translocation to mitochondria",0.261479591836735,"Pathway",16
"26","Activation of BH3-only proteins",0.261479591836735,"Pathway",16
"27","Activation of caspases through apoptosome-mediated cleavage",0.267624020887728,"Pathway",28
"28","Activation of GABAB receptors",0.270369284876905,"Pathway",35
"29","Activation of gene expression by SREBF (SREBP)",0.274635308127419,"Pathway",45
"30","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0.281937652811736,"Pathway",56
"31","Activation of Matrix Metalloproteinases",0.206468218442256,"Pathway",1
"32","Activation of NF-kappaB in B cells",0.28498609823911,"Pathway",62
"33","Activation of PKB",0.24385408406027,"Pathway",7
"34","Activation of PPARGC1A (PGC-1alpha) by phosphorylation",0.271164021164021,"Pathway",37
"35","Activation of Rac",0.266695576756288,"Pathway",27
"36","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.268168604651163,"Pathway",30
"37","Activation of the pre-replicative complex",0.260446075663467,"Pathway",15
"38","Activation, translocation and oligomerization of BAX",0.260078939949253,"Pathway",15
"39","Acyl chain remodeling of DAG and TAG",0.217673430863615,"Pathway",2
"40","ADAM10",0.35426267281106,"Gene",94
"41","Adaptive Immune System",0.328058321479374,"Pathway",75
"42","Adenylate cyclase inhibitory pathway",0.270369284876905,"Pathway",35
"43","ADGRE5",0.347981893625047,"Gene",92
"44","Adherens junctions interactions",0.259129213483146,"Pathway",13
"45","ADI1",0.269815735595203,"Gene",34
"46","Adipogenesis",0.289003759398496,"Pathway",66
"47","ADM",0.28099299421261,"Gene",54
"48","ADO",0.340154867256637,"Gene",76
