"","name","Category"
"1","STUB1","Gene"
"2","ZWINT","Gene"
"3","DLD","Gene"
"4","DPH2","Gene"
"5","TUBB6","Gene"
"6","PCNA","Gene"
"7","TYMS","Gene"
"8","NUP85","Gene"
"9","MRPS16","Gene"
"10","MYC","Gene"
"11","CDC20","Gene"
"12","TSPAN4","Gene"
"13","SDHB","Gene"
"14","MRPS7","Gene"
"15","MRPS2","Gene"
"16","TIMM9","Gene"
"17","TM9SF3","Gene"
"18","DNTTIP2","Gene"
"19","IFRD2","Gene"
"20","MRPL12","Gene"
"21","HDAC2","Gene"
"22","IARS2","Gene"
"23","LIG1","Gene"
"24","EZH2","Gene"
"25","CCNA2","Gene"
"26","SLC6A4","Gene"
"27","CYP3A5","Gene"
"28","HTR2C","Gene"
"29","CHRM3","Gene"
"30","SLC6A2","Gene"
"31","CHRM2","Gene"
"32","CYP3A4","Gene"
"33","ALB","Gene"
"34","ORM1","Gene"
"35","CYP2C9","Gene"
"36","ADRA1A","Gene"
"37","PTGS1","Gene"
"38","CYP1A2","Gene"
"39","HTR1A","Gene"
"40","HTR2A","Gene"
"41","CHRM4","Gene"
"42","DRD2","Gene"
"43","ADRA1D","Gene"
"44","CYP2C19","Gene"
"45","CHRM1","Gene"
"46","HTR6","Gene"
"47","HRH1","Gene"
"48","ADRA1B","Gene"
"49","CYP2D6","Gene"
"50","CYP2E1","Gene"
"51","CHRM5","Gene"
"52","SQLE","Gene"
"53","NSDHL","Gene"
"54","HMGCS1","Gene"
"55","ACAT2","Gene"
"56","FDPS","Gene"
"57","LDLR","Gene"
"58","C14orf1","Gene"
"59","MVD","Gene"
"60","ELOVL6","Gene"
"61","INSIG1","Gene"
"62","DDIT4","Gene"
"63","SREBF2","Gene"
"64","PNPLA3","Gene"
"65","SCD","Gene"
"66","DHCR7","Gene"
"67","NPC1","Gene"
"68","SC5D","Gene"
"69","LIPA","Gene"
"70","LSS","Gene"
"71","HSD17B7","Gene"
"72","EBP","Gene"
"73","MSMO1","Gene"
"74","HMGCR","Gene"
"75","CYP51A1","Gene"
"76","FADS2","Gene"
"77","ALDOC","Gene"
"78","IDI1","Gene"
"79","FDFT1","Gene"
"80","S100A4","Gene"
"81","BCS1L","Gene"
"82","PKIG","Gene"
"83","RPS6","Gene"
"84","TMSB10","Gene"
"85","ATP1B1","Gene"
"86","NCL","Gene"
"87","SEPHS2","Gene"
"88","CYCS","Gene"
"89","NUDT1","Gene"
"90","MEST","Gene"
"91","FIS1","Gene"
"92","LGALS4","Gene"
"93","TRAPPC3","Gene"
"94","NUBP2","Gene"
"95","BABAM1","Gene"
"96","HMOX2","Gene"
"97","FAM69A","Gene"
"98","PSMB2","Gene"
"99","NDUFB8","Gene"
"100","NOSIP","Gene"
"101","PTPRK","Gene"
"102","PSMB6","Gene"
"103","PTPRO","Gene"
"104","MRPS28","Gene"
"105","SUZ12","Gene"
"106","CTSL","Gene"
"107","STOML2","Gene"
"108","RUVBL1","Gene"
"109","COX8A","Gene"
"110","ETFB","Gene"
"111","TRAPPC2L","Gene"
"112","GMNN","Gene"
"113","PNP","Gene"
"114","ECH1","Gene"
"115","SQSTM1","Gene"
"116","APP","Gene"
"117","DDX47","Gene"
"118","CDK7","Gene"
"119","TKT","Gene"
"120","MRPL4","Gene"
"121","ISOC2","Gene"
"122","NAA10","Gene"
"123","PFN1","Gene"
"124","NQO1","Gene"
"125","ANXA4","Gene"
"126","TPI1","Gene"
"127","DRAP1","Gene"
"128","TUFM","Gene"
"129","PLEKHM1","Gene"
"130","MRPL22","Gene"
"131","PPP4C","Gene"
"132","PUF60","Gene"
"133","CCT2","Gene"
"134","RNPS1","Gene"
"135","PAFAH1B3","Gene"
"136","UBC","Gene"
"137","ELAC2","Gene"
"138","APEX1","Gene"
"139","HAUS7","Gene"
"140","COG7","Gene"
"141","CDC25B","Gene"
"142","APRT","Gene"
"143","LPP","Gene"
"144","MCM7","Gene"
"145","SLC38A1","Gene"
"146","RAI14","Gene"
"147","HSPA8","Gene"
"148","THAP11","Gene"
"149","ITGB1BP1","Gene"
"150","ERI3","Gene"
"151","SNRPA","Gene"
"152","GNAS","Gene"
"153","DCTPP1","Gene"
"154","UBL5","Gene"
"155","C1QBP","Gene"
"156","C2CD5","Gene"
"157","YARS2","Gene"
"158","KRT81","Gene"
"159","IFT27","Gene"
"160","TCEB2","Gene"
"161","TMEM50A","Gene"
"162","PSMC3","Gene"
"163","DNM1L","Gene"
"164","KDM5D","Gene"
"165","PYCR1","Gene"
"166","BAG3","Gene"
"167","COLGALT1","Gene"
"168","UQCRQ","Gene"
"169","ASUN","Gene"
"170","PARK7","Gene"
"171","COX7B","Gene"
"172","PRUNE2","Gene"
"173","PPM1G","Gene"
"174","CCT5","Gene"
"175","HSP90AA1","Gene"
"176","MPC2","Gene"
"177","RAN","Gene"
"178","FAM50A","Gene"
"179","TIMELESS","Gene"
"180","TRAP1","Gene"
"181","FBL","Gene"
"182","IRAK1","Gene"
"183","MRPL13","Gene"
"184","GTPBP8","Gene"
"185","METTL17","Gene"
"186","ACOT9","Gene"
"187","NME1","Gene"
"188","SDCBP","Gene"
"189","LAMTOR2","Gene"
"190","YBX3","Gene"
"191","MCTS1","Gene"
"192","SHC1","Gene"
"193","SLC25A6","Gene"
"194","TRMT112","Gene"
"195","CEBPB","Gene"
"196","JMJD6","Gene"
"197","RHOT2","Gene"
"198","MPG","Gene"
"199","BAX","Gene"
"200","NDUFS3","Gene"
"201","MRPL11","Gene"
"202","ENOPH1","Gene"
"203","TMEM109","Gene"
"204","BCAP31","Gene"
"205","CNOT2","Gene"
"206","TMEM97","Gene"
"207","CCT3","Gene"
"208","UBE2C","Gene"
"209","PSME1","Gene"
"210","MIF","Gene"
"211","SNX6","Gene"
"212","SNRPA1","Gene"
"213","RPA3","Gene"
"214","TUBA1A","Gene"
"215","NDUFA9","Gene"
"216","PROCR","Gene"
"217","MRPS35","Gene"
"218","HSPE1","Gene"
"219","DAD1","Gene"
"220","FAM96B","Gene"
"221","AP2S1","Gene"
"222","COX4I1","Gene"
"223","TSR3","Gene"
"224","CANT1","Gene"
"225","LRRC41","Gene"
"226","CD2BP2","Gene"
"227","BFAR","Gene"
"228","HTATSF1","Gene"
"229","EIF6","Gene"
"230","MLEC","Gene"
"231","ADSL","Gene"
"232","HSPD1","Gene"
"233","POLR1D","Gene"
"234","NDUFA13","Gene"
"235","SNRPD2","Gene"
"236","KPNA2","Gene"
"237","AKR1B10","Gene"
"238","CHMP1A","Gene"
"239","ERH","Gene"
"240","NDUFS6","Gene"
"241","NT5C","Gene"
"242","PCBD1","Gene"
"243","BANF1","Gene"
"244","RGS2","Gene"
"245","TK1","Gene"
"246","FPGS","Gene"
"247","NPTX2","Gene"
"248","XRCC6","Gene"
"249","NDUFA10","Gene"
"250","PPP2R5E","Gene"
"251","POLD4","Gene"
"252","SDC1","Gene"
"253","AKR7A2","Gene"
"254","PSMA7","Gene"
"255","COPS3","Gene"
"256","EIF3I","Gene"
"257","NUDC","Gene"
"258","RPN1","Gene"
"259","AURKB","Gene"
"260","CD44","Gene"
"261","MTHFD2","Gene"
"262","HAT1","Gene"
"263","HIST1H4C","Gene"
"264","CRK","Gene"
"265","DYNC1LI2","Gene"
"266","FKBP4","Gene"
"267","NCAPD2","Gene"
"268","GRWD1","Gene"
"269","BIRC5","Gene"
"270","SLC2A6","Gene"
"271","OTUB1","Gene"
"272","HSPB1","Gene"
"273","G6PD","Gene"
"274","LCMT1","Gene"
"275","LUC7L","Gene"
"276","ZNHIT1","Gene"
"277","SYNJ2BP","Gene"
"278","CTSD","Gene"
"279","OXA1L","Gene"
"280","DECR2","Gene"
"281","NPDC1","Gene"
"282","TXNRD1","Gene"
"283","PGLS","Gene"
"284","SPR","Gene"
"285","TSEN2","Gene"
"286","DPYSL2","Gene"
"287","PPIB","Gene"
"288","CHRFAM7A","Gene"
"289","CHRNA6","Gene"
"290","CHRNA4","Gene"
"291","CHRNA7","Gene"
"292","CHRNB2","Gene"
"293","CHRNA3","Gene"
"294","GSTT2","Gene"
"295","TAF4","Gene"
"296","AMFR","Gene"
"297","NCK2","Gene"
"298","SOCS5","Gene"
"299","HERC5","Gene"
"300","LY75","Gene"
"301","ICAM1","Gene"
"302","ADAM10","Gene"
"303","SIK3","Gene"
"304","ICAM3","Gene"
"305","PF4","Gene"
"306","SERPINA3","Gene"
"307","ATRN","Gene"
"308","E2F2","Gene"
"309","APAF1","Gene"
"310","MON2","Gene"
"311","JADE2","Gene"
"312","BTK","Gene"
"313","BMI1","Gene"
