"","type"
"1","UPREGULATES_CuG"
"2","UPREGULATES_CuG"
"3","BINDS_CbG"
"4","UPREGULATES_CuG"
"5","UPREGULATES_CuG"
"6","UPREGULATES_CuG"
"7","UPREGULATES_CuG"
"8","UPREGULATES_CuG"
"9","UPREGULATES_CuG"
"10","UPREGULATES_CuG"
"11","UPREGULATES_CuG"
"12","UPREGULATES_CuG"
"13","UPREGULATES_CuG"
"14","UPREGULATES_CuG"
"15","UPREGULATES_CuG"
"16","UPREGULATES_CuG"
"17","UPREGULATES_CuG"
"18","UPREGULATES_CuG"
"19","UPREGULATES_CuG"
"20","UPREGULATES_CuG"
"21","UPREGULATES_CuG"
"22","UPREGULATES_CuG"
"23","UPREGULATES_CuG"
"24","UPREGULATES_CuG"
"25","UPREGULATES_CuG"
"26","UPREGULATES_CuG"
"27","UPREGULATES_CuG"
"28","UPREGULATES_CuG"
"29","UPREGULATES_CuG"
"30","DOWNREGULATES_CdG"
"31","DOWNREGULATES_CdG"
"32","DOWNREGULATES_CdG"
"33","DOWNREGULATES_CdG"
"34","DOWNREGULATES_CdG"
"35","DOWNREGULATES_CdG"
"36","DOWNREGULATES_CdG"
"37","DOWNREGULATES_CdG"
"38","DOWNREGULATES_CdG"
"39","DOWNREGULATES_CdG"
"40","DOWNREGULATES_CdG"
"41","DOWNREGULATES_CdG"
"42","DOWNREGULATES_CdG"
"43","DOWNREGULATES_CdG"
"44","DOWNREGULATES_CdG"
"45","DOWNREGULATES_CdG"
"46","DOWNREGULATES_CdG"
"47","DOWNREGULATES_CdG"
"48","DOWNREGULATES_CdG"
"49","DOWNREGULATES_CdG"
"50","DOWNREGULATES_CdG"
"51","DOWNREGULATES_CdG"
"52","DOWNREGULATES_CdG"
"53","DOWNREGULATES_CdG"
"54","DOWNREGULATES_CdG"
"55","BINDS_CbG"
"56","BINDS_CbG"
"57","BINDS_CbG"
"58","BINDS_CbG"
"59","BINDS_CbG"
"60","BINDS_CbG"
"61","BINDS_CbG"
"62","BINDS_CbG"
"63","BINDS_CbG"
"64","BINDS_CbG"
"65","BINDS_CbG"
"66","BINDS_CbG"
"67","BINDS_CbG"
"68","BINDS_CbG"
"69","BINDS_CbG"
"70","BINDS_CbG"
"71","BINDS_CbG"
"72","BINDS_CbG"
"73","BINDS_CbG"
"74","BINDS_CbG"
"75","BINDS_CbG"
"76","BINDS_CbG"
"77","BINDS_CbG"
"78","BINDS_CbG"
"79","BINDS_CbG"
"80","PARTICIPATES_GpBP"
"81","EXPRESSES_AeG"
"82","PARTICIPATES_GpPW"
"83","PARTICIPATES_GpPW"
"84","PARTICIPATES_GpPW"
"85","PARTICIPATES_GpPW"
"86","PARTICIPATES_GpPW"
"87","PARTICIPATES_GpPW"
"88","PARTICIPATES_GpPW"
"89","PARTICIPATES_GpPW"
"90","PARTICIPATES_GpPW"
"91","PARTICIPATES_GpPW"
"92","PARTICIPATES_GpPW"
"93","PARTICIPATES_GpPW"
"94","PARTICIPATES_GpPW"
"95","DOWNREGULATES_CdG"
"96","DOWNREGULATES_CdG"
"97","PARTICIPATES_GpBP"
"98","EXPRESSES_AeG"
"99","PARTICIPATES_GpPW"
"100","PARTICIPATES_GpPW"
"101","PARTICIPATES_GpPW"
"102","PARTICIPATES_GpPW"
"103","PARTICIPATES_GpPW"
"104","PARTICIPATES_GpPW"
"105","PARTICIPATES_GpPW"
"106","PARTICIPATES_GpPW"
"107","PARTICIPATES_GpPW"
"108","DOWNREGULATES_CdG"
"109","DOWNREGULATES_CdG"
"110","PARTICIPATES_GpBP"
"111","EXPRESSES_AeG"
"112","BINDS_CbG"
"113","PARTICIPATES_GpPW"
"114","PARTICIPATES_GpPW"
"115","PARTICIPATES_GpPW"
"116","PARTICIPATES_GpPW"
"117","PARTICIPATES_GpPW"
"118","PARTICIPATES_GpPW"
"119","PARTICIPATES_GpPW"
"120","PARTICIPATES_GpPW"
"121","PARTICIPATES_GpPW"
"122","PARTICIPATES_GpPW"
"123","PARTICIPATES_GpPW"
"124","PARTICIPATES_GpPW"
"125","PARTICIPATES_GpPW"
"126","DOWNREGULATES_CdG"
"127","DOWNREGULATES_CdG"
"128","PARTICIPATES_GpBP"
"129","EXPRESSES_AeG"
"130","DOWNREGULATES_CdG"
"131","PARTICIPATES_GpBP"
"132","EXPRESSES_AeG"
"133","BINDS_CbG"
"134","BINDS_CbG"
"135","BINDS_CbG"
"136","BINDS_CbG"
"137","BINDS_CbG"
"138","BINDS_CbG"
"139","BINDS_CbG"
"140","BINDS_CbG"
"141","PARTICIPATES_GpPW"
"142","PARTICIPATES_GpPW"
"143","PARTICIPATES_GpPW"
"144","PARTICIPATES_GpPW"
"145","PARTICIPATES_GpPW"
"146","PARTICIPATES_GpPW"
"147","PARTICIPATES_GpPW"
"148","PARTICIPATES_GpPW"
"149","PARTICIPATES_GpPW"
"150","PARTICIPATES_GpPW"
"151","PARTICIPATES_GpPW"
"152","DOWNREGULATES_CdG"
"153","PARTICIPATES_GpBP"
"154","EXPRESSES_AeG"
"155","PARTICIPATES_GpPW"
"156","PARTICIPATES_GpPW"
"157","PARTICIPATES_GpPW"
"158","PARTICIPATES_GpPW"
"159","PARTICIPATES_GpPW"
"160","PARTICIPATES_GpPW"
"161","PARTICIPATES_GpPW"
"162","PARTICIPATES_GpPW"
"163","PARTICIPATES_GpPW"
"164","PARTICIPATES_GpPW"
"165","PARTICIPATES_GpPW"
"166","PARTICIPATES_GpPW"
"167","PARTICIPATES_GpPW"
"168","PARTICIPATES_GpPW"
