"","value","value"
"1","Nortriptyline","FDFT1"
"2","Nortriptyline","SREBF2"
"3","Nortriptyline","CHRM5"
"4","Nortriptyline","MSMO1"
"5","Nortriptyline","LSS"
"6","Nortriptyline","IDI1"
"7","Nortriptyline","HMGCS1"
"8","Nortriptyline","INSIG1"
"9","Nortriptyline","SC5D"
"10","Nortriptyline","SQLE"
"11","Nortriptyline","HMGCR"
"12","Nortriptyline","DDIT4"
"13","Nortriptyline","DHCR7"
"14","Nortriptyline","NPC1"
"15","Nortriptyline","NSDHL"
"16","Nortriptyline","FADS2"
"17","Nortriptyline","MVD"
"18","Nortriptyline","ELOVL6"
"19","Nortriptyline","PNPLA3"
"20","Nortriptyline","FDPS"
"21","Nortriptyline","ACAT2"
"22","Nortriptyline","EBP"
"23","Nortriptyline","C14orf1"
"24","Nortriptyline","HSD17B7"
"25","Nortriptyline","ALDOC"
"26","Nortriptyline","CYP51A1"
"27","Nortriptyline","LIPA"
"28","Nortriptyline","LDLR"
"29","Nortriptyline","SCD"
"30","Nortriptyline","STUB1"
"31","Nortriptyline","ZWINT"
"32","Nortriptyline","DLD"
"33","Nortriptyline","DPH2"
"34","Nortriptyline","TUBB6"
"35","Nortriptyline","PCNA"
"36","Nortriptyline","TYMS"
"37","Nortriptyline","NUP85"
"38","Nortriptyline","MRPS16"
"39","Nortriptyline","MYC"
"40","Nortriptyline","CDC20"
"41","Nortriptyline","TSPAN4"
"42","Nortriptyline","SDHB"
"43","Nortriptyline","MRPS7"
"44","Nortriptyline","MRPS2"
"45","Nortriptyline","TIMM9"
"46","Nortriptyline","TM9SF3"
"47","Nortriptyline","DNTTIP2"
"48","Nortriptyline","IFRD2"
"49","Nortriptyline","MRPL12"
"50","Nortriptyline","HDAC2"
"51","Nortriptyline","IARS2"
"52","Nortriptyline","LIG1"
"53","Nortriptyline","EZH2"
"54","Nortriptyline","CCNA2"
"55","Nortriptyline","SLC6A4"
"56","Nortriptyline","CYP3A5"
"57","Nortriptyline","HTR2C"
"58","Nortriptyline","CHRM3"
"59","Nortriptyline","SLC6A2"
"60","Nortriptyline","CHRM2"
"61","Nortriptyline","CYP3A4"
"62","Nortriptyline","CHRM1"
"63","Nortriptyline","CYP1A2"
"64","Nortriptyline","CYP2C19"
"65","Nortriptyline","CHRM4"
"66","Nortriptyline","CYP2C9"
"67","Nortriptyline","HTR1A"
"68","Nortriptyline","HRH1"
"69","Nortriptyline","PTGS1"
"70","Nortriptyline","ALB"
"71","Nortriptyline","HTR6"
"72","Nortriptyline","ADRA1A"
"73","Nortriptyline","ORM1"
"74","Nortriptyline","CYP2D6"
"75","Nortriptyline","DRD2"
"76","Nortriptyline","CYP2E1"
"77","Nortriptyline","ADRA1D"
"78","Nortriptyline","HTR2A"
"79","Nortriptyline","ADRA1B"
"80","Nortriptyline","Oropharyngeal pain"
"81","Nortriptyline","Ileus paralytic"
"82","Nortriptyline","Anorexia"
"83","Nortriptyline","Menopausal symptoms"
"84","Nortriptyline","Mania"
"85","Nortriptyline","Tachycardia"
