Compound,Compound_ID,Relation,Gene,Gene_ID
Flavoxate,DB01148,BINDS_CbG,PDE7B,27115
Flavoxate,DB01148,BINDS_CbG,PDE4D,5144
Flavoxate,DB01148,BINDS_CbG,PDE4A,5141
Flavoxate,DB01148,BINDS_CbG,PDE4B,5142
Flavoxate,DB01148,BINDS_CbG,PDE8A,5151
Flavoxate,DB01148,BINDS_CbG,PDE8B,8622
Penbutolol,DB01359,BINDS_CbG,ORM1,5004
Ziprasidone,DB00246,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Ziprasidone,DB00246,BINDS_CbG,CYP3A7,1551
Ziprasidone,DB00246,BINDS_CbG,CYP3A5,1577
Ziprasidone,DB00246,BINDS_CbG,HTR2A,3356
Ziprasidone,DB00246,BINDS_CbG,ADRA2C,152
Ziprasidone,DB00246,BINDS_CbG,CYP3A4,1576
Ziprasidone,DB00246,BINDS_CbG,KCNH2,3757
Ziprasidone,DB00246,BINDS_CbG,H1F0,3005
Ziprasidone,DB00246,BINDS_CbG,HTR7,3363
Ziprasidone,DB00246,BINDS_CbG,HRH1,3269
Ziprasidone,DB00246,BINDS_CbG,CYP2D6,1565
Ziprasidone,DB00246,BINDS_CbG,ADRA1A,148
Ziprasidone,DB00246,BINDS_CbG,ADRA2A,150
Ziprasidone,DB00246,BINDS_CbG,CYP1A2,1544
Voglibose,DB04878,BINDS_CbG,GAA,2548
Voglibose,DB04878,BINDS_CbG,SI,6476
Voglibose,DB04878,BINDS_CbG,MGAM,8972
Pazopanib,DB06589,BINDS_CbG,FLT4,2324
Pazopanib,DB06589,BINDS_CbG,STK16,8576
Pazopanib,DB06589,BINDS_CbG,PDGFRB,5159
Pazopanib,DB06589,BINDS_CbG,CYP2D6,1565
Pazopanib,DB06589,BINDS_CbG,SLCO1B1,10599
Pazopanib,DB06589,BINDS_CbG,KIT,3815
Pazopanib,DB06589,BINDS_CbG,PI4KB,5298
Pazopanib,DB06589,BINDS_CbG,CYP2C8,1558
Pazopanib,DB06589,BINDS_CbG,RIOK2,55781
Pazopanib,DB06589,BINDS_CbG,ABCB1,5243
Pazopanib,DB06589,BINDS_CbG,MAP3K2,10746
Pazopanib,DB06589,BINDS_CbG,CYP3A4,1576
Pazopanib,DB06589,BINDS_CbG,MAP3K9,4293
Pazopanib,DB06589,BINDS_CbG,TAOK1,57551
Pazopanib,DB06589,BINDS_CbG,UGT1A1,54658
Pazopanib,DB06589,BINDS_CbG,LIMK2,3985
Pazopanib,DB06589,BINDS_CbG,PDGFRA,5156
Pazopanib,DB06589,BINDS_CbG,TAOK3,51347
Pazopanib,DB06589,BINDS_CbG,BMPR1B,658
Pazopanib,DB06589,BINDS_CbG,CSF1R,1436
Pazopanib,DB06589,BINDS_CbG,EPHB6,2051
Pazopanib,DB06589,BINDS_CbG,LYN,4067
Pazopanib,DB06589,BINDS_CbG,FGFR2,2263
Pazopanib,DB06589,BINDS_CbG,SH2B3,10019
Pazopanib,DB06589,BINDS_CbG,LCK,3932
Pazopanib,DB06589,BINDS_CbG,FLT1,2321
Pazopanib,DB06589,BINDS_CbG,AURKC,6795
Pazopanib,DB06589,BINDS_CbG,PLK4,10733
Pazopanib,DB06589,BINDS_CbG,STK36,27148
Pazopanib,DB06589,BINDS_CbG,MAP2K5,5607
Pazopanib,DB06589,BINDS_CbG,ITK,3702
Pazopanib,DB06589,BINDS_CbG,STK10,6793
Pazopanib,DB06589,BINDS_CbG,PIP4K2C,79837
Pazopanib,DB06589,BINDS_CbG,KDR,3791
Pazopanib,DB06589,BINDS_CbG,CYP1A2,1544
Pazopanib,DB06589,BINDS_CbG,FGFR1,2260
Pazopanib,DB06589,BINDS_CbG,ABCG2,9429
Pazopanib,DB06589,BINDS_CbG,FGF1,2246
Pazopanib,DB06589,BINDS_CbG,FGFR3,2261
L-Serine,DB00133,BINDS_CbG,SPTLC1,10558
L-Serine,DB00133,BINDS_CbG,SARS,6301
L-Serine,DB00133,BINDS_CbG,SPTLC2,9517
L-Serine,DB00133,BINDS_CbG,CBS,875
L-Serine,DB00133,BINDS_CbG,SLC16A10,117247
L-Serine,DB00133,BINDS_CbG,SRR,63826
L-Serine,DB00133,BINDS_CbG,SDS,10993
L-Serine,DB00133,BINDS_CbG,AGXT,189
Azelastine,DB00972,BINDS_CbG,CYP2C9,1559
Azelastine,DB00972,BINDS_CbG,CYP3A4,1576
Azelastine,DB00972,BINDS_CbG,CYP1A2,1544
Azelastine,DB00972,BINDS_CbG,CYP2D6,1565
Azelastine,DB00972,BINDS_CbG,CYP2C19,1557
Azelastine,DB00972,BINDS_CbG,CYP2E1,1571
Azelastine,DB00972,BINDS_CbG,CYP1A1,1543
Azelastine,DB00972,BINDS_CbG,KCNH2,3757
Azelastine,DB00972,BINDS_CbG,CYP2B6,1555
Azelastine,DB00972,BINDS_CbG,CYP3A5,1577
Azelastine,DB00972,BINDS_CbG,HRH1,3269
Azelastine,DB00972,BINDS_CbG,CYP2A6,1548
Azelastine,DB00972,BINDS_CbG,ABCB1,5243
Azelastine,DB00972,BINDS_CbG,CYP2C8,1558
Floxuridine,DB00322,BINDS_CbG,TYMP,1890
