Anatomy,Anatomy_ID,Relation,Gene,Gene_ID
bile duct,UBERON:0002394,EXPRESSES_AeG,ONECUT1,3175
bile duct,UBERON:0002394,EXPRESSES_AeG,ABCC2,1244
bile duct,UBERON:0002394,EXPRESSES_AeG,ABCB4,5244
bile duct,UBERON:0002394,EXPRESSES_AeG,ALPP,250
bile duct,UBERON:0002394,EXPRESSES_AeG,KRAS,3845
bile duct,UBERON:0002394,EXPRESSES_AeG,SLC10A1,6554
bile duct,UBERON:0002394,EXPRESSES_AeG,ABCB11,8647
bile duct,UBERON:0002394,EXPRESSES_AeG,AFP,174
bile duct,UBERON:0002394,EXPRESSES_AeG,DLAT,1737
bile duct,UBERON:0002394,EXPRESSES_AeG,GGT1,2678
bile duct,UBERON:0002394,EXPRESSES_AeG,GOT2,2806
bile duct,UBERON:0002394,EXPRESSES_AeG,NR1H4,9971
bile duct,UBERON:0002394,EXPRESSES_AeG,CCK,885
bile duct,UBERON:0002394,EXPRESSES_AeG,TCFL5,10732
bile duct,UBERON:0002394,EXPRESSES_AeG,SCT,6343
bile duct,UBERON:0002394,EXPRESSES_AeG,GOT1,2805
bile duct,UBERON:0002394,EXPRESSES_AeG,JAG1,182
bile duct,UBERON:0002394,EXPRESSES_AeG,SLC10A2,6555
bile duct,UBERON:0002394,EXPRESSES_AeG,ABCC3,8714
bile duct,UBERON:0002394,EXPRESSES_AeG,ALPPL2,251
bile duct,UBERON:0002394,EXPRESSES_AeG,PKHD1,5314
bile duct,UBERON:0002394,EXPRESSES_AeG,KRT7,3855
lymph node,UBERON:0000029,EXPRESSES_AeG,KPNA5,3841
lymph node,UBERON:0000029,EXPRESSES_AeG,POLI,11201
lymph node,UBERON:0000029,EXPRESSES_AeG,ZFX,7543
lymph node,UBERON:0000029,EXPRESSES_AeG,KAT2A,2648
lymph node,UBERON:0000029,EXPRESSES_AeG,SLC4A1AP,22950
lymph node,UBERON:0000029,EXPRESSES_AeG,MSANTD4,84437
lymph node,UBERON:0000029,EXPRESSES_AeG,CLUH,23277
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF138,51444
lymph node,UBERON:0000029,EXPRESSES_AeG,RAI14,26064
lymph node,UBERON:0000029,EXPRESSES_AeG,AGTR1,185
lymph node,UBERON:0000029,EXPRESSES_AeG,EXOSC8,11340
lymph node,UBERON:0000029,EXPRESSES_AeG,ERLIN1,10613
lymph node,UBERON:0000029,EXPRESSES_AeG,VPS54,51542
