Gene,Gene_ID,Relation,BiologicalProcess,BiologicalProcess_ID
SIRT2,22933,PARTICIPATES_GpBP,ripoptosome assembly,GO:0097343
RIPK1,8737,PARTICIPATES_GpBP,ripoptosome assembly,GO:0097343
CYLD,1540,PARTICIPATES_GpBP,ripoptosome assembly,GO:0097343
UGT1A8,54576,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SERPINA12,145264,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A9,54600,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
AKT1,207,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
DKK3,27122,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
INS,3630,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
GFI1,2672,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A1,54658,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ACADL,33,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
TNF,7124,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PDGFA,5154,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
CNR1,1268,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PDGFB,5155,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SCAP,22937,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
METTL20,254013,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A7,54577,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
INSIG1,3638,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PROX1,5629,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SOD1,6647,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SIRT1,23411,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PRKAA1,5562,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ORMDL1,94101,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A4,54657,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
BMP2,650,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
KIAA0226,9711,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
INSIG2,51141,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
APOC2,344,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A10,54575,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
HCAR2,338442,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
CCNC,892,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PDE8B,8622,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PIBF1,10464,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SLC27A1,376497,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ERLIN2,11160,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
WDTC1,23038,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A3,54659,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
NFKB1,4790,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PIK3CG,5294,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ADORA1,134,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
APOD,347,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
APOE,348,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ATP1A1,476,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
GPER1,2852,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
