Gene,Gene_ID,Relation,Pathway,Pathway_ID
GNAS,2778,PARTICIPATES_GpPW,Class B/2 (Secretin family receptors),PC7_2621
EGFR,1956,PARTICIPATES_GpPW,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PC7_8639
TGFB1,7040,PARTICIPATES_GpPW,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PC7_8639
MMP9,4318,PARTICIPATES_GpPW,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PC7_8639
HGF,3082,PARTICIPATES_GpPW,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PC7_8639
KRAS,3845,PARTICIPATES_GpPW,Cell surface interactions at the vascular wall,PC7_2525
NRAS,4893,PARTICIPATES_GpPW,Cell surface interactions at the vascular wall,PC7_2525
HRAS,3265,PARTICIPATES_GpPW,Cell surface interactions at the vascular wall,PC7_2525
ERBB2,2064,PARTICIPATES_GpPW,PI-3K cascade,PC7_6149
EGFR,1956,PARTICIPATES_GpPW,PI-3K cascade,PC7_6149
TGFBR2,7048,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TGFB1,7040,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SMAD4,4089,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
HRAS,3265,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TGFB1,7040,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
TP53,7157,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
TGFB1,7040,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
EGFR,1956,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
HRAS,3265,PARTICIPATES_GpPW,Insulin Pathway,PC7_4745
SMAD4,4089,PARTICIPATES_GpPW,Ectoderm Differentiation,WP2858_r83015
PPFIBP2,8495,PARTICIPATES_GpPW,Ectoderm Differentiation,WP2858_r83015
MMP9,4318,PARTICIPATES_GpPW,Angiogenesis,WP1539_r79949
GNAS,2778,PARTICIPATES_GpPW,Hedgehog 'off' state,PC7_4438
NRAS,4893,PARTICIPATES_GpPW,Hemostasis,PC7_4449
NOS2,4843,PARTICIPATES_GpPW,Hemostasis,PC7_4449
HGF,3082,PARTICIPATES_GpPW,Hemostasis,PC7_4449
GNAS,2778,PARTICIPATES_GpPW,Hemostasis,PC7_4449
KRAS,3845,PARTICIPATES_GpPW,Hemostasis,PC7_4449
TGFB1,7040,PARTICIPATES_GpPW,Hemostasis,PC7_4449
HRAS,3265,PARTICIPATES_GpPW,Hemostasis,PC7_4449
TP53,7157,PARTICIPATES_GpPW,Hemostasis,PC7_4449
KRAS,3845,PARTICIPATES_GpPW,mTOR signaling pathway,PC7_12078
NRAS,4893,PARTICIPATES_GpPW,mTOR signaling pathway,PC7_12078
HRAS,3265,PARTICIPATES_GpPW,mTOR signaling pathway,PC7_12078
TP53,7157,PARTICIPATES_GpPW,BARD1 signaling events,PC7_1883
EGFR,1956,PARTICIPATES_GpPW,Downstream signaling events of B Cell Receptor (BCR),PC7_3326
NRAS,4893,PARTICIPATES_GpPW,Downstream signaling events of B Cell Receptor (BCR),PC7_3326
HRAS,3265,PARTICIPATES_GpPW,Downstream signaling events of B Cell Receptor (BCR),PC7_3326
KRAS,3845,PARTICIPATES_GpPW,Downstream signaling events of B Cell Receptor (BCR),PC7_3326
ERBB2,2064,PARTICIPATES_GpPW,Downstream signaling events of B Cell Receptor (BCR),PC7_3326
MMP9,4318,PARTICIPATES_GpPW,Collagen formation,PC7_2670
RNF43,54894,PARTICIPATES_GpPW,Signaling by Wnt,PC7_7484
EGFR,1956,PARTICIPATES_GpPW,Gastric Cancer Network 2,WP2363_r84552
TP53,7157,PARTICIPATES_GpPW,Gastric Cancer Network 2,WP2363_r84552
ERBB2,2064,PARTICIPATES_GpPW,Constitutive PI3K/AKT Signaling in Cancer,PC7_2679
EGFR,1956,PARTICIPATES_GpPW,Constitutive PI3K/AKT Signaling in Cancer,PC7_2679
GNAS,2778,PARTICIPATES_GpPW,Glucagon-type ligand receptors,PC7_4159
TGFB1,7040,PARTICIPATES_GpPW,Cardiac Hypertrophic Response,WP2795_r78544
NRAS,4893,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
TP53,7157,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
MET,4233,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
ERBB2,2064,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
HRAS,3265,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
KRAS,3845,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
EGFR,1956,PARTICIPATES_GpPW,Signaling Pathways in Glioblastoma,WP2261_r81197
TGFB1,7040,PARTICIPATES_GpPW,Extracellular matrix organization,PC7_3777
MMP2,4313,PARTICIPATES_GpPW,Extracellular matrix organization,PC7_3777
MMP9,4318,PARTICIPATES_GpPW,Extracellular matrix organization,PC7_3777
TNC,3371,PARTICIPATES_GpPW,Extracellular matrix organization,PC7_3777
EGFR,1956,PARTICIPATES_GpPW,Signaling events mediated by PTP1B,PC7_7493
TP53,7157,PARTICIPATES_GpPW,Activation of PUMA and translocation to mitochondria,PC7_1545
EGFR,1956,PARTICIPATES_GpPW,L1CAM interactions,PC7_4917
TP53,7157,PARTICIPATES_GpPW,Apoptosis Modulation and Signaling,WP1772_r84701
PTGS2,5743,PARTICIPATES_GpPW,Nicotinate metabolism,PC7_5909
HRAS,3265,PARTICIPATES_GpPW,Signaling events mediated by Stem cell factor receptor (c-Kit),PC7_7494
IL6,3569,PARTICIPATES_GpPW,IGF1R signaling cascade,PC7_4583
HRAS,3265,PARTICIPATES_GpPW,IGF1R signaling cascade,PC7_4583
KRAS,3845,PARTICIPATES_GpPW,IGF1R signaling cascade,PC7_4583
NRAS,4893,PARTICIPATES_GpPW,IGF1R signaling cascade,PC7_4583
RNF43,54894,PARTICIPATES_GpPW,regulation of FZD by ubiquitination,PC7_12487
TP53,7157,PARTICIPATES_GpPW,ATM Signaling Pathway,WP2516_r84490
EGFR,1956,PARTICIPATES_GpPW,Signaling by ERBB4,PC7_7446
ERBB2,2064,PARTICIPATES_GpPW,Signaling by ERBB4,PC7_7446
HRAS,3265,PARTICIPATES_GpPW,Signaling by ERBB4,PC7_7446
KRAS,3845,PARTICIPATES_GpPW,Signaling by ERBB4,PC7_7446
IL6,3569,PARTICIPATES_GpPW,Signaling by ERBB4,PC7_7446
NRAS,4893,PARTICIPATES_GpPW,Signaling by ERBB4,PC7_7446
TP53,7157,PARTICIPATES_GpPW,Cell Cycle,PC7_2519
HRAS,3265,PARTICIPATES_GpPW,Focal Adhesion,WP306_r80308
ERBB2,2064,PARTICIPATES_GpPW,Focal Adhesion,WP306_r80308
EGFR,1956,PARTICIPATES_GpPW,Focal Adhesion,WP306_r80308
MET,4233,PARTICIPATES_GpPW,Focal Adhesion,WP306_r80308
TNC,3371,PARTICIPATES_GpPW,Focal Adhesion,WP306_r80308
HGF,3082,PARTICIPATES_GpPW,Focal Adhesion,WP306_r80308
TNC,3371,PARTICIPATES_GpPW,Integrin cell surface interactions,PC7_4758
IL6,3569,PARTICIPATES_GpPW,Activated TLR4 signalling,PC7_1517
GNAS,2778,PARTICIPATES_GpPW,Serotonin Receptor 4/6/7 and NR3C Signaling,WP734_r74438
TGFB1,7040,PARTICIPATES_GpPW,TGF-beta receptor signaling activates SMADs,PC7_7796
SMAD4,4089,PARTICIPATES_GpPW,TGF-beta receptor signaling activates SMADs,PC7_7796
TGFBR2,7048,PARTICIPATES_GpPW,TGF-beta receptor signaling activates SMADs,PC7_7796
MET,4233,PARTICIPATES_GpPW,Regulation of retinoblastoma protein,PC7_6918
IDH2,3418,PARTICIPATES_GpPW,TCA Cycle,WP78_r70014
HRAS,3265,PARTICIPATES_GpPW,Signaling by Insulin receptor,PC7_7460
KRAS,3845,PARTICIPATES_GpPW,Signaling by Insulin receptor,PC7_7460
IL6,3569,PARTICIPATES_GpPW,Signaling by Insulin receptor,PC7_7460
NRAS,4893,PARTICIPATES_GpPW,Signaling by Insulin receptor,PC7_7460
EGFR,1956,PARTICIPATES_GpPW,Signal transduction by L1,PC7_7438
IDH2,3418,PARTICIPATES_GpPW,Pyruvate metabolism and Citric Acid (TCA) cycle,PC7_6670
SMAD4,4089,PARTICIPATES_GpPW,Generic Transcription Pathway,PC7_4116
HRAS,3265,PARTICIPATES_GpPW,EGFR-dependent Endothelin signaling events,PC7_3392
EGFR,1956,PARTICIPATES_GpPW,EGFR-dependent Endothelin signaling events,PC7_3392
PTGS2,5743,PARTICIPATES_GpPW,S1P1 pathway,PC7_7040
MMP2,4313,PARTICIPATES_GpPW,Osteopontin-mediated events,PC7_6066
MMP9,4318,PARTICIPATES_GpPW,Osteopontin-mediated events,PC7_6066
RNF43,54894,PARTICIPATES_GpPW,RNF mutants show enhanced WNT signaling and proliferation,PC7_6815
IL6,3569,PARTICIPATES_GpPW,DAP12 signaling,PC7_2926
KRAS,3845,PARTICIPATES_GpPW,DAP12 signaling,PC7_2926
ERBB2,2064,PARTICIPATES_GpPW,DAP12 signaling,PC7_2926
HRAS,3265,PARTICIPATES_GpPW,DAP12 signaling,PC7_2926
NRAS,4893,PARTICIPATES_GpPW,DAP12 signaling,PC7_2926
EGFR,1956,PARTICIPATES_GpPW,DAP12 signaling,PC7_2926
IL6,3569,PARTICIPATES_GpPW,Signaling by FGFR in disease,PC7_7448
NRAS,4893,PARTICIPATES_GpPW,Signaling by FGFR in disease,PC7_7448
EGFR,1956,PARTICIPATES_GpPW,Signaling by FGFR in disease,PC7_7448
ERBB2,2064,PARTICIPATES_GpPW,Signaling by FGFR in disease,PC7_7448
HRAS,3265,PARTICIPATES_GpPW,Signaling by FGFR in disease,PC7_7448
KRAS,3845,PARTICIPATES_GpPW,Signaling by FGFR in disease,PC7_7448
RNF43,54894,PARTICIPATES_GpPW,p73 transcription factor network,PC7_12279
TGFBR2,7048,PARTICIPATES_GpPW,Integrins in angiogenesis,PC7_4762
HRAS,3265,PARTICIPATES_GpPW,IGF1 pathway,PC7_4574
TGFB1,7040,PARTICIPATES_GpPW,TFs Regulate miRNAs related to cardiac hypertrophy,WP1559_r84698
HRAS,3265,PARTICIPATES_GpPW,Kit receptor signaling pathway,WP304_r78799
TP53,7157,PARTICIPATES_GpPW,Transcriptional activation of cell cycle inhibitor p21,PC7_8322
KRAS,3845,PARTICIPATES_GpPW,Signaling by NGF,PC7_7463
ERBB2,2064,PARTICIPATES_GpPW,Signaling by NGF,PC7_7463
HRAS,3265,PARTICIPATES_GpPW,Signaling by NGF,PC7_7463
NRAS,4893,PARTICIPATES_GpPW,Signaling by NGF,PC7_7463
IL6,3569,PARTICIPATES_GpPW,Signaling by NGF,PC7_7463
EGFR,1956,PARTICIPATES_GpPW,Signaling by NGF,PC7_7463
TGFB1,7040,PARTICIPATES_GpPW,Dopaminergic Neurogenesis,WP2855_r79211
SMAD4,4089,PARTICIPATES_GpPW,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,PC7_7313
TGFB1,7040,PARTICIPATES_GpPW,Influenza Infection,PC7_4727
GNAS,2778,PARTICIPATES_GpPW,PKA activation in glucagon signalling,PC7_6172
ERBB2,2064,PARTICIPATES_GpPW,DAP12 interactions,PC7_2925
KRAS,3845,PARTICIPATES_GpPW,DAP12 interactions,PC7_2925
NRAS,4893,PARTICIPATES_GpPW,DAP12 interactions,PC7_2925
IL6,3569,PARTICIPATES_GpPW,DAP12 interactions,PC7_2925
EGFR,1956,PARTICIPATES_GpPW,DAP12 interactions,PC7_2925
HRAS,3265,PARTICIPATES_GpPW,DAP12 interactions,PC7_2925
TP53,7157,PARTICIPATES_GpPW,Alzheimers Disease,WP2059_r82906
TP53,7157,PARTICIPATES_GpPW,Direct p53 effectors,PC7_3277
EGFR,1956,PARTICIPATES_GpPW,Direct p53 effectors,PC7_3277
MET,4233,PARTICIPATES_GpPW,Direct p53 effectors,PC7_3277
HGF,3082,PARTICIPATES_GpPW,Direct p53 effectors,PC7_3277
MMP2,4313,PARTICIPATES_GpPW,Direct p53 effectors,PC7_3277
PTGS2,5743,PARTICIPATES_GpPW,Nicotinamide salvaging,PC7_5907
ERBB2,2064,PARTICIPATES_GpPW,Validated targets of C-MYC transcriptional repression,PC7_8678
SMAD4,4089,PARTICIPATES_GpPW,Validated targets of C-MYC transcriptional repression,PC7_8678
TP53,7157,PARTICIPATES_GpPW,Aurora A signaling,PC7_1855
NRAS,4893,PARTICIPATES_GpPW,Internalization of ErbB1,PC7_4783
EGFR,1956,PARTICIPATES_GpPW,Internalization of ErbB1,PC7_4783
HRAS,3265,PARTICIPATES_GpPW,Internalization of ErbB1,PC7_4783
KRAS,3845,PARTICIPATES_GpPW,Internalization of ErbB1,PC7_4783
EGFR,1956,PARTICIPATES_GpPW,Axon guidance,PC7_1863
MET,4233,PARTICIPATES_GpPW,Axon guidance,PC7_1863
MMP9,4318,PARTICIPATES_GpPW,Axon guidance,PC7_1863
MMP2,4313,PARTICIPATES_GpPW,Axon guidance,PC7_1863
ROBO2,6092,PARTICIPATES_GpPW,Axon guidance,PC7_1863
NRAS,4893,PARTICIPATES_GpPW,Axon guidance,PC7_1863
HRAS,3265,PARTICIPATES_GpPW,Axon guidance,PC7_1863
KRAS,3845,PARTICIPATES_GpPW,Axon guidance,PC7_1863
IL6,3569,PARTICIPATES_GpPW,Axon guidance,PC7_1863
ERBB2,2064,PARTICIPATES_GpPW,Axon guidance,PC7_1863
HRAS,3265,PARTICIPATES_GpPW,EPHB forward signaling,PC7_3420
KRAS,3845,PARTICIPATES_GpPW,EPHB forward signaling,PC7_3420
NRAS,4893,PARTICIPATES_GpPW,EPHB forward signaling,PC7_3420
NOS2,4843,PARTICIPATES_GpPW,Circadian rythm related genes,WP3594_r84573
TP53,7157,PARTICIPATES_GpPW,Circadian rythm related genes,WP3594_r84573
IL6,3569,PARTICIPATES_GpPW,Circadian rythm related genes,WP3594_r84573
HRAS,3265,PARTICIPATES_GpPW,Nongenotropic Androgen signaling,PC7_5970
ERBB2,2064,PARTICIPATES_GpPW,GAB1 signalosome,PC7_4012
EGFR,1956,PARTICIPATES_GpPW,GAB1 signalosome,PC7_4012
MMP9,4318,PARTICIPATES_GpPW,Matrix Metalloproteinases,WP129_r72054
MMP2,4313,PARTICIPATES_GpPW,Matrix Metalloproteinases,WP129_r72054
TP53,7157,PARTICIPATES_GpPW,Wnt Signaling Pathway and Pluripotency,WP399_r79474
ARID1A,8289,PARTICIPATES_GpPW,RMTs methylate histone arginines,PC7_6788
PBRM1,55193,PARTICIPATES_GpPW,RMTs methylate histone arginines,PC7_6788
MMP9,4318,PARTICIPATES_GpPW,Endochondral Ossification,WP474_r80208
TGFB1,7040,PARTICIPATES_GpPW,Endochondral Ossification,WP474_r80208
RNF43,54894,PARTICIPATES_GpPW,Signaling by WNT in cancer,PC7_7483
NRAS,4893,PARTICIPATES_GpPW,MEK activation,PC7_5139
KRAS,3845,PARTICIPATES_GpPW,MEK activation,PC7_5139
HRAS,3265,PARTICIPATES_GpPW,MEK activation,PC7_5139
TP53,7157,PARTICIPATES_GpPW,Cellular responses to stress,PC7_2532
IL6,3569,PARTICIPATES_GpPW,Cellular responses to stress,PC7_2532
MMP9,4318,PARTICIPATES_GpPW,Osteopontin Signaling,WP1434_r78545
NOS2,4843,PARTICIPATES_GpPW,Signaling mediated by p38-alpha and p38-beta,PC7_7500
KRT19,3880,PARTICIPATES_GpPW,Signaling mediated by p38-alpha and p38-beta,PC7_7500
TP53,7157,PARTICIPATES_GpPW,Signaling mediated by p38-alpha and p38-beta,PC7_7500
PTGS2,5743,PARTICIPATES_GpPW,Signaling mediated by p38-alpha and p38-beta,PC7_7500
IL6,3569,PARTICIPATES_GpPW,Fc epsilon receptor (FCERI) signaling,PC7_3884
NRAS,4893,PARTICIPATES_GpPW,Fc epsilon receptor (FCERI) signaling,PC7_3884
KRAS,3845,PARTICIPATES_GpPW,Fc epsilon receptor (FCERI) signaling,PC7_3884
ERBB2,2064,PARTICIPATES_GpPW,Fc epsilon receptor (FCERI) signaling,PC7_3884
EGFR,1956,PARTICIPATES_GpPW,Fc epsilon receptor (FCERI) signaling,PC7_3884
HRAS,3265,PARTICIPATES_GpPW,Fc epsilon receptor (FCERI) signaling,PC7_3884
ERBB2,2064,PARTICIPATES_GpPW,NGF signalling via TRKA from the plasma membrane,PC7_5772
EGFR,1956,PARTICIPATES_GpPW,NGF signalling via TRKA from the plasma membrane,PC7_5772
KRAS,3845,PARTICIPATES_GpPW,NGF signalling via TRKA from the plasma membrane,PC7_5772
IL6,3569,PARTICIPATES_GpPW,NGF signalling via TRKA from the plasma membrane,PC7_5772
NRAS,4893,PARTICIPATES_GpPW,NGF signalling via TRKA from the plasma membrane,PC7_5772
HRAS,3265,PARTICIPATES_GpPW,NGF signalling via TRKA from the plasma membrane,PC7_5772
TP53,7157,PARTICIPATES_GpPW,TP53 Network,WP1742_r71700
EGFR,1956,PARTICIPATES_GpPW,Signaling by FGFR,PC7_7447
KRAS,3845,PARTICIPATES_GpPW,Signaling by FGFR,PC7_7447
NRAS,4893,PARTICIPATES_GpPW,Signaling by FGFR,PC7_7447
IL6,3569,PARTICIPATES_GpPW,Signaling by FGFR,PC7_7447
ERBB2,2064,PARTICIPATES_GpPW,Signaling by FGFR,PC7_7447
HRAS,3265,PARTICIPATES_GpPW,Signaling by FGFR,PC7_7447
NRAS,4893,PARTICIPATES_GpPW,Activation of RAS in B cells,PC7_1546
KRAS,3845,PARTICIPATES_GpPW,Activation of RAS in B cells,PC7_1546
HRAS,3265,PARTICIPATES_GpPW,Activation of RAS in B cells,PC7_1546
NRAS,4893,PARTICIPATES_GpPW,MAPK Cascade,WP422_r72129
KRAS,3845,PARTICIPATES_GpPW,MAPK Cascade,WP422_r72129
HRAS,3265,PARTICIPATES_GpPW,MAPK Cascade,WP422_r72129
IL6,3569,PARTICIPATES_GpPW,Regulation of toll-like receptor signaling pathway,WP1449_r81172
ERBB2,2064,PARTICIPATES_GpPW,PI3K/AKT activation,PC7_6157
EGFR,1956,PARTICIPATES_GpPW,PI3K/AKT activation,PC7_6157
IL6,3569,PARTICIPATES_GpPW,Toll-Like Receptors Cascades,PC7_8295
NRAS,4893,PARTICIPATES_GpPW,Insulin receptor signalling cascade,PC7_4749
KRAS,3845,PARTICIPATES_GpPW,Insulin receptor signalling cascade,PC7_4749
HRAS,3265,PARTICIPATES_GpPW,Insulin receptor signalling cascade,PC7_4749
IL6,3569,PARTICIPATES_GpPW,Insulin receptor signalling cascade,PC7_4749
TGFB1,7040,PARTICIPATES_GpPW,Downregulation of TGF-beta receptor signaling,PC7_3323
TGFBR2,7048,PARTICIPATES_GpPW,Downregulation of TGF-beta receptor signaling,PC7_3323
TGFB1,7040,PARTICIPATES_GpPW,Cytokines and Inflammatory Response,WP530_r79331
IL6,3569,PARTICIPATES_GpPW,Cytokines and Inflammatory Response,WP530_r79331
SLC5A5,6528,PARTICIPATES_GpPW,Thyroxine (Thyroid Hormone) Production,WP1981_r70955
SMAD4,4089,PARTICIPATES_GpPW,Validated nuclear estrogen receptor alpha network,PC7_8675
SMAD4,4089,PARTICIPATES_GpPW,Regulation of cytoplasmic and nuclear SMAD2/3 signaling,PC7_6900
HGF,3082,PARTICIPATES_GpPW,Platelet degranulation,PC7_6514
TGFB1,7040,PARTICIPATES_GpPW,Platelet degranulation,PC7_6514
HRAS,3265,PARTICIPATES_GpPW,Plasma membrane estrogen receptor signaling,PC7_6507
NRAS,4893,PARTICIPATES_GpPW,Plasma membrane estrogen receptor signaling,PC7_6507
MMP2,4313,PARTICIPATES_GpPW,Plasma membrane estrogen receptor signaling,PC7_6507
MMP9,4318,PARTICIPATES_GpPW,Plasma membrane estrogen receptor signaling,PC7_6507
KRAS,3845,PARTICIPATES_GpPW,Plasma membrane estrogen receptor signaling,PC7_6507
TP53,7157,PARTICIPATES_GpPW,Signaling events mediated by HDAC Class III,PC7_7490
TNC,3371,PARTICIPATES_GpPW,Syndecan interactions,PC7_7717
TGFB1,7040,PARTICIPATES_GpPW,Syndecan interactions,PC7_7717
ERBB2,2064,PARTICIPATES_GpPW,Downregulation of ERBB2:ERBB3 signaling,PC7_3320
MMP9,4318,PARTICIPATES_GpPW,Collagen degradation,PC7_2669
MMP2,4313,PARTICIPATES_GpPW,Collagen degradation,PC7_2669
IL6,3569,PARTICIPATES_GpPW,MyD88-independent cascade,PC7_5560
SLC5A5,6528,PARTICIPATES_GpPW,Transmembrane transport of small molecules,PC7_8339
GNAS,2778,PARTICIPATES_GpPW,Transmembrane transport of small molecules,PC7_8339
KRAS,3845,PARTICIPATES_GpPW,Tie2 Signaling,PC7_8275
HRAS,3265,PARTICIPATES_GpPW,Tie2 Signaling,PC7_8275
NRAS,4893,PARTICIPATES_GpPW,Tie2 Signaling,PC7_8275
HRAS,3265,PARTICIPATES_GpPW,Transmission across Chemical Synapses,PC7_8340
EGFR,1956,PARTICIPATES_GpPW,E-cadherin signaling in keratinocytes,PC7_3359
